Year,region_dest,region_orig,Immigrants
2010,Africa,Africa,12410607
2010,Africa,Asia,2696189
2010,Africa,Europe,697851
2010,Africa,Latin America and the Caribbean,8487
2010,Africa,North America,54647
2010,Africa,Oceania,11503
2010,Asia,Africa,3388141
2010,Asia,Asia,52633067
2010,Asia,Europe,6498219
2010,Asia,Latin America and the Caribbean,88790
2010,Asia,North America,458188
2010,Asia,Oceania,84867
2010,Europe,Africa,8145218
2010,Europe,Asia,32111908
2010,Europe,Europe,35820062
2010,Europe,Latin America and the Caribbean,3409947
2010,Europe,North America,917698
2010,Europe,Oceania,323050
2010,Latin America and the Caribbean,Africa,37540
2010,Latin America and the Caribbean,Asia,1789332
2010,Latin America and the Caribbean,Europe,1147012
2010,Latin America and the Caribbean,Latin America and the Caribbean,4376575
2010,Latin America and the Caribbean,North America,1189961
2010,Latin America and the Caribbean,Oceania,5460
2010,North America,Africa,1822454
2010,North America,Asia,17362966
2010,North America,Europe,7044135
2010,North America,Latin America and the Caribbean,23379069
2010,North America,North America,1149280
2010,North America,Oceania,237969
2010,Oceania,Africa,428698
2010,Oceania,Asia,4333289
2010,Oceania,Europe,2699657
2010,Oceania,Latin America and the Caribbean,96677
2010,Oceania,North America,185788
2010,Oceania,Oceania,860274
