age,agedef,c_birth,unit,sex,geo\time	2016 	2015 	2014 	2013 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,AT	4827 	4723 	4093 	4085 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,BE	1004 	1017 	953 	1407 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,BG	586 	559 	577 	743 p
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,CH	3109 	2876 	2766 	2758 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,CY	: 	: 	: 	54 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,CZ	414 	120 	106 	155 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,DE	: 	: 	: 	14984 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,DK	393 	372 	365 	405 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,EE	20 	23 	7 	16 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	234 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,ES	: 	: 	501 	466 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,FI	155 	132 	163 	205 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,FR	: 	: 	: 	3622 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,HR	457 	504 	538 	503 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,HU	1413 	1635 	1693 	1287 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,IE	: 	: 	: 	101 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,IS	29 	13 	11 	16 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,IT	828 	760 	759 	787 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,LI	13 	10 	7 	12 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,LT	19 	3 	4 	5 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,LU	284 	223 	238 	184 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,LV	: 	: 	5 	11 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,NL	1796 	1452 	1265 	1396 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,NO	636 	568 	481 	485 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,PL	: 	: 	: 	370 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,PT	: 	: 	: 	28 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,RO	597 	410 	67 	80 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,SE	1569 	1440 	1398 	1337 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,SI	980 	866 	902 	947 
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,SK	41 	50 p	16 p	28 p
TOTAL,COMPLET,CC5_13_FOR_X_IS,NR,F,UK	: 	: 	: 	3679 
