citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,AT	4242 	4203 	3765 	3846 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,BE	1171 	: 	1175 	1640 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,BG	1201 	925 	869 	993 p
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,CH	2342 	2264 	2213 	2248 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,CY	: 	: 	: 	24 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,CZ	413 	116 	90 	145 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,DE	: 	: 	: 	15953 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,DK	290 	295 	311 	353 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,EE	18 	21 	6 	16 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,EL	: 	: 	: 	175 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,ES	: 	: 	460 	425 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,FI	147 	: 	167 	216 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,FR	: 	: 	: 	3172 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,HR	330 	389 	457 	422 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,HU	461 	461 	408 	395 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,IE	: 	: 	: 	105 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,IS	22 	: 	8 	14 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,IT	1845 	: 	1871 	2187 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,LI	11 	8 	4 	8 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,LT	13 	4 	: 	4 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,LU	262 	207 	226 	188 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,LV	: 	: 	4 	8 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,NL	1555 	1373 	1270 	1348 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,NO	557 	: 	444 	438 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,PT	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,RO	434 	398 	479 	521 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,SE	1559 	: 	1605 	1220 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,SI	871 	788 	828 	926 
CC5_13_FOR_X_IS,COMPLET,TOTAL,NR,F,SK	9 	31 p	3 p	12 p
