age,c_birth,unit,sex,geo\time	2017 	2016 	2015 	2014 
TOTAL,CC5_13_FOR_X_IS,NR,F,AT	161756 	160040 	158207 	156511 
TOTAL,CC5_13_FOR_X_IS,NR,F,BE	48461 	48254 	48134 	48174 
TOTAL,CC5_13_FOR_X_IS,NR,F,BG	5793 	5414 	5023 	4675 
TOTAL,CC5_13_FOR_X_IS,NR,F,CH	103110 	101115 	99057 	97327 
TOTAL,CC5_13_FOR_X_IS,NR,F,CY	: 	: 	: 	324 
TOTAL,CC5_13_FOR_X_IS,NR,F,CZ	1862 	1508 	: 	1325 
TOTAL,CC5_13_FOR_X_IS,NR,F,DE	: 	: 	: 	795777 
TOTAL,CC5_13_FOR_X_IS,NR,F,DK	17898 	17704 	17525 	17380 
TOTAL,CC5_13_FOR_X_IS,NR,F,EE	76 	66 	44 	38 
TOTAL,CC5_13_FOR_X_IS,NR,F,EL	: 	: 	: 	27076 
TOTAL,CC5_13_FOR_X_IS,NR,F,ES	: 	: 	4154 	3914 
TOTAL,CC5_13_FOR_X_IS,NR,F,FI	2250 	2125 	2023 	1886 
TOTAL,CC5_13_FOR_X_IS,NR,F,FR	: 	: 	: 	167588 
TOTAL,CC5_13_FOR_X_IS,NR,F,HR	: 	: 	: 	36828 
TOTAL,CC5_13_FOR_X_IS,NR,F,HU	: 	19628 	19050 	18221 
TOTAL,CC5_13_FOR_X_IS,NR,F,IE	: 	: 	: 	970 
TOTAL,CC5_13_FOR_X_IS,NR,F,IS	243 	217 	215 	212 
TOTAL,CC5_13_FOR_X_IS,NR,F,IT	65612 	65823 	: 	65738 
TOTAL,CC5_13_FOR_X_IS,NR,F,LI	427 	419 	416 	420 
TOTAL,CC5_13_FOR_X_IS,NR,F,LT	23 	9 	18 	24 
TOTAL,CC5_13_FOR_X_IS,NR,F,LU	2489 	: 	: 	2447 
TOTAL,CC5_13_FOR_X_IS,NR,F,LV	28 	25 	31 	21 
TOTAL,CC5_13_FOR_X_IS,NR,F,NL	93783 	93578 	94104 	95017 
TOTAL,CC5_13_FOR_X_IS,NR,F,NO	9274 	8539 	: 	7962 
TOTAL,CC5_13_FOR_X_IS,NR,F,PL	: 	: 	: 	749 p
TOTAL,CC5_13_FOR_X_IS,NR,F,PT	: 	: 	: 	429 
TOTAL,CC5_13_FOR_X_IS,NR,F,RO	2985 	2358 	: 	1771 e
TOTAL,CC5_13_FOR_X_IS,NR,F,SE	30432 	29281 	: 	27449 
TOTAL,CC5_13_FOR_X_IS,NR,F,SI	18645 	18174 	18831 	18577 
TOTAL,CC5_13_FOR_X_IS,NR,F,SK	1101 	1053 	985 	969 
TOTAL,CC5_13_FOR_X_IS,NR,M,AT	164696 	163226 	161462 	160050 
TOTAL,CC5_13_FOR_X_IS,NR,M,BE	51947 	51808 	51764 	51889 
TOTAL,CC5_13_FOR_X_IS,NR,M,BG	10107 	9695 	9348 	8985 
TOTAL,CC5_13_FOR_X_IS,NR,M,CH	108576 	106420 	104561 	103105 
TOTAL,CC5_13_FOR_X_IS,NR,M,CY	: 	: 	: 	312 
TOTAL,CC5_13_FOR_X_IS,NR,M,CZ	4687 	4011 	: 	3457 
TOTAL,CC5_13_FOR_X_IS,NR,M,DE	: 	: 	: 	817466 
TOTAL,CC5_13_FOR_X_IS,NR,M,DK	19518 	19285 	19062 	18874 
TOTAL,CC5_13_FOR_X_IS,NR,M,EE	283 	239 	192 	136 
TOTAL,CC5_13_FOR_X_IS,NR,M,EL	: 	: 	: 	19706 
TOTAL,CC5_13_FOR_X_IS,NR,M,ES	: 	: 	5078 	4908 
TOTAL,CC5_13_FOR_X_IS,NR,M,FI	4966 	4769 	4624 	4444 
TOTAL,CC5_13_FOR_X_IS,NR,M,FR	: 	: 	: 	182321 
TOTAL,CC5_13_FOR_X_IS,NR,M,HR	: 	: 	: 	29395 
TOTAL,CC5_13_FOR_X_IS,NR,M,HU	: 	24385 	23064 	21615 
TOTAL,CC5_13_FOR_X_IS,NR,M,IE	: 	: 	: 	1233 
TOTAL,CC5_13_FOR_X_IS,NR,M,IS	249 	225 	213 	218 
TOTAL,CC5_13_FOR_X_IS,NR,M,IT	71151 	71941 	: 	73294 
TOTAL,CC5_13_FOR_X_IS,NR,M,LI	423 	425 	425 	427 
TOTAL,CC5_13_FOR_X_IS,NR,M,LT	29 	2 	52 	51 
TOTAL,CC5_13_FOR_X_IS,NR,M,LU	2502 	: 	: 	2608 
TOTAL,CC5_13_FOR_X_IS,NR,M,LV	123 	109 	99 	92 
TOTAL,CC5_13_FOR_X_IS,NR,M,NL	97562 	97866 	98908 	100351 
TOTAL,CC5_13_FOR_X_IS,NR,M,NO	10758 	9970 	: 	9474 
TOTAL,CC5_13_FOR_X_IS,NR,M,PL	: 	: 	: 	1770 p
TOTAL,CC5_13_FOR_X_IS,NR,M,PT	: 	: 	: 	357 
TOTAL,CC5_13_FOR_X_IS,NR,M,RO	7506 	6351 	: 	5182 e
TOTAL,CC5_13_FOR_X_IS,NR,M,SE	35809 	34646 	: 	32781 
TOTAL,CC5_13_FOR_X_IS,NR,M,SI	25977 	25043 	26838 	26404 
TOTAL,CC5_13_FOR_X_IS,NR,M,SK	2294 	2174 	2053 	1940 
TOTAL,CC5_13_FOR_X_IS,NR,T,AT	326452 	323266 	319669 	316561 
TOTAL,CC5_13_FOR_X_IS,NR,T,BE	100408 	100062 	99898 	100063 
TOTAL,CC5_13_FOR_X_IS,NR,T,BG	15900 	15109 	14371 	13660 
TOTAL,CC5_13_FOR_X_IS,NR,T,CH	211686 	207535 	203618 	200432 
TOTAL,CC5_13_FOR_X_IS,NR,T,CY	: 	: 	: 	636 
TOTAL,CC5_13_FOR_X_IS,NR,T,CZ	6549 	5519 	: 	4782 
TOTAL,CC5_13_FOR_X_IS,NR,T,DE	: 	: 	: 	1613243 
TOTAL,CC5_13_FOR_X_IS,NR,T,DK	37416 	36989 	36587 	36254 
TOTAL,CC5_13_FOR_X_IS,NR,T,EE	359 	305 	236 	174 
TOTAL,CC5_13_FOR_X_IS,NR,T,EL	: 	: 	: 	46782 
TOTAL,CC5_13_FOR_X_IS,NR,T,ES	: 	: 	9232 	8822 
TOTAL,CC5_13_FOR_X_IS,NR,T,FI	7216 	6894 	6647 	6330 
TOTAL,CC5_13_FOR_X_IS,NR,T,FR	: 	: 	: 	349909 
TOTAL,CC5_13_FOR_X_IS,NR,T,HR	: 	: 	: 	66223 
TOTAL,CC5_13_FOR_X_IS,NR,T,HU	: 	44013 	42114 	39836 
TOTAL,CC5_13_FOR_X_IS,NR,T,IE	: 	: 	: 	2203 
TOTAL,CC5_13_FOR_X_IS,NR,T,IS	492 	442 	428 	430 
TOTAL,CC5_13_FOR_X_IS,NR,T,IT	136763 	137764 	: 	139032 
TOTAL,CC5_13_FOR_X_IS,NR,T,LI	850 	844 	841 	847 
TOTAL,CC5_13_FOR_X_IS,NR,T,LT	52 	11 	70 	75 
TOTAL,CC5_13_FOR_X_IS,NR,T,LU	4991 	: 	: 	5055 
TOTAL,CC5_13_FOR_X_IS,NR,T,LV	151 	134 	130 	113 
TOTAL,CC5_13_FOR_X_IS,NR,T,NL	191345 	191444 	193012 	195368 
TOTAL,CC5_13_FOR_X_IS,NR,T,NO	20032 	18509 	: 	17436 
