citizen,age,unit,sex,geo\time	2017 	2016 	2015 	2014 	2012 
CC5_13_FOR_X_IS,TOTAL,NR,F,AT	126029 	124242 	122234 	120300 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,BE	22996 	22924 	23024 	23199 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,BG	4434 	3581 	3011 	2491 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,CH	100016 	100661 	103430 	108672 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,CY	: 	: 	: 	225 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,CZ	2242 	1894 	1852 	1787 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,DE	797718 	812369 	807921 	804424 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,DK	16615 	16937 	16683 	16410 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,EE	66 	56 	36 	31 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,EL	: 	: 	: 	5728 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,ES	: 	: 	3322 	3173 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,FI	1998 	1970 	1914 	1877 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,FR	: 	: 	: 	131221 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,HR	: 	: 	: 	3419 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,HU	1446 	1556 	1548 	1764 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,IE	571 	: 	: 	654 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,IS	63 	50 	57 	58 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,IT	61912 	65231 	67558 	69608 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,LI	545 	567 	569 	608 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,LT	14 	5 	10 	18 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,LU	3855 	: 	: 	3615 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,LV	14 	9 	19 	12 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,NL	38806 	39293 	40246 	41497 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,NO	4118 	3702 	3400 	3182 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,PL	: 	: 	: 	404 p	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,PT	485 	: 	: 	328 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,RO	2381 	2339 	: 	2108 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,SE	9269 	9214 	9214 	8981 	: 
CC5_13_FOR_X_IS,TOTAL,NR,F,SI	8302 	7855 	7502 	7174 	: 
