Year,region_dest,region_orig,Immigrants
2015,Africa,Africa,16582592
2015,Africa,Asia,3313935
2015,Africa,Europe,934659
2015,Africa,Latin America and the Caribbean,19341
2015,Africa,North America,64139
2015,Africa,Oceania,20232
2015,Asia,Africa,4158630
2015,Asia,Asia,61647420
2015,Asia,Europe,6682082
2015,Asia,Latin America and the Caribbean,89960
2015,Asia,North America,494530
2015,Asia,Oceania,91019
2015,Europe,Africa,8627112
2015,Europe,Asia,33529338
2015,Europe,Europe,37987282
2015,Europe,Latin America and the Caribbean,3364521
2015,Europe,North America,972063
2015,Europe,Oceania,333453
2015,Latin America and the Caribbean,Africa,49998
2015,Latin America and the Caribbean,Asia,2036129
2015,Latin America and the Caribbean,Europe,1306257
2015,Latin America and the Caribbean,Latin America and the Caribbean,4853368
2015,Latin America and the Caribbean,North America,1335246
2015,Latin America and the Caribbean,Oceania,6800
2015,North America,Africa,2275869
2015,North America,Asia,20050763
2015,North America,Europe,7277293
2015,North America,Latin America and the Caribbean,24795689
2015,North America,North America,1176762
2015,North America,Oceania,265901
2015,Oceania,Africa,493936
2015,Oceania,Asia,4952240
2015,Oceania,Europe,2912934
2015,Oceania,Latin America and the Caribbean,110418
2015,Oceania,North America,223809
2015,Oceania,Oceania,1017123
